DATE,STATE,COUNTY,LATITUDE,LONGITUDE,SPECIES,IDNUMBER,SEX,RELATIVEAGE
10/26/2018,ME,PENOBSCOT,45.9918,-68.44836,RACCOONS,JJ18191,FEMALE,ADULT
10/5/2018,ME,AROOSTOOK,46.76649,-68.47411,RACCOONS,JJ18161,MALE,ADULT
10/6/2018,ME,AROOSTOOK,46.00674,-68.27928,RACCOONS,JJ18176,FEMALE,ADULT
10/5/2018,ME,AROOSTOOK,46.766649,-68.47411,RACCOONS,JJ18160,MALE,ADULT
10/16/2018,ME,AROOSTOOK,46.01169,-68.25017,RACCOONS,JJ18179,FEMALE,ADULT
10/19/2018,ME,PENOBSCOT,45.66279,-68.62388,RACCOONS,JJ18182,FEMALE,ADULT
8/1/2018,ME,AROOSTOOK,47.237923,-68.57031,RACCOONS,JJ18133,MALE,ADULT
9/27/2018,ME,AROOSTOOK,45.88745,-68.42239,RACCOONS,JJ18159,MALE,ADULT
7/12/2018,ME,AROOSTOOK,46.76649,-68.47411,"SKUNKS, STRIPED",JJ18129,FEMALE,ADULT
7/4/2018,ME,AROOSTOOK,47.2445,-68.600326,RACCOONS,JJ18128,MALE,ADULT
7/11/2018,ME,AROOSTOOK,47.204235,-68.56447,RACCOONS,JJ18127,MALE,ADULT
8/7/2018,NC,ASHE,36.395664,-81.47327,RACCOONS,NC18165,MALE,ADULT
8/7/2018,NC,ASHE,36.444723,-81.56572,RACCOONS,NC18162,MALE,JUVENILE (YOY)
8/6/2018,NC,BUNCOMBE,35.546324,-82.674863,RACCOONS,NC18161,FEMALE,ADULT
10/1/2018,NC,AVERY,36.071137,-81.874606,RACCOONS,NC18198,MALE,JUVENILE (YOY)
8/29/2018,NC,BUNCOMBE,35.611734,-82.506528,RACCOONS,NC18181,FEMALE,JUVENILE (YOY)
8/7/2018,NC,ASHE,36.335736,-81.468668,RACCOONS,NC18166,FEMALE,JUVENILE (YOY)
8/7/2018,NC,ASHE,36.470649,-81.530113,RACCOONS,NC18164,MALE,ADULT
9/13/2018,NC,CHEROKEE,35.0232,-84.1501,RACCOONS,NC18192,MALE,ADULT
8/15/2018,NC,MADISON,35.95575,-82.514853,RACCOONS,NC18177,FEMALE,ADULT
9/7/2018,NC,CHEROKEE,35.017629,-84.274045,RACCOONS,NC18188,MALE,ADULT
8/7/2018,NC,ASHE,36.477687,-81.504818,RACCOONS,NC18167,FEMALE,ADULT
8/29/2018,NC,BUNCOMBE,0,0,RACCOONS,NC18179,MALE,JUVENILE (YOY)
9/19/2018,NC,BUNCOMBE,35.511611,-82.664549,RACCOONS,NC18195,MALE,JUVENILE (YOY)
8/7/2018,NC,ASHE,36.490012,-81.617783,RACCOONS,NC18170,MALE,ADULT
11/29/2018,NC,BUNCOMBE,35.670225,-82.596016,RACCOONS,NC18220,MALE,ADULT
10/1/2018,NC,AVERY,36.098446,-81.856408,RACCOONS,NC18199,FEMALE,ADULT
9/7/2018,NC,HAYWOOD,35.541881,-83.013458,RACCOONS,NC18189,FEMALE,ADULT
9/19/2018,NC,BUNCOMBE,35.624779,-82.590512,RACCOONS,NC18194,FEMALE,JUVENILE (YOY)
10/16/2018,NC,BUNCOMBE,35.665889,-82.585646,RACCOONS,NC18203,FEMALE,ADULT
8/7/2018,NC,ASHE,36.469009,-81.512265,RACCOONS,NC18169,MALE,ADULT
9/21/2018,NC,MACON,35.142789,-83.477057,RACCOONS,NC18197,MALE,ADULT
11/29/2018,NC,BUNCOMBE,35.668815,-82.598463,RACCOONS,NC18219,FEMALE,ADULT
8/16/2018,NC,MADISON,35.974361,-82.706631,RACCOONS,NC18111,MALE,ADULT
8/7/2018,NC,ASHE,36.498476,-81.489484,RACCOONS,NC18163,FEMALE,ADULT
8/7/2018,NC,ASHE,36.402053,-81.480102,RACCOONS,NC18172,FEMALE,JUVENILE (YOY)
8/6/2018,NC,BUNCOMBE,35.529263,-82.603408,RACCOONS,NC18159,MALE,ADULT
8/7/2018,NC,ASHE,36.410225,-81.482906,RACCOONS,NC18168,MALE,JUVENILE (YOY)
8/7/2018,NC,ASHE,36.402053,-81.480102,RACCOONS,NC18171,FEMALE,JUVENILE (YOY)
8/29/2018,NC,BUNCOMBE,35.588387,-82.4807282,RACCOONS,NC18180,MALE,JUVENILE (YOY)
8/7/2018,NC,AVERY,36.04643,-81.885676,RACCOONS,NC18158,FEMALE,JUVENILE (YOY)
11/6/2018,NH,BELKNAP,43.52585,-71.61739,RACCOONS,ARM1804,MALE,ADULT
10/23/2018,NH,BELKNAP,43.527173,-71.612235,RACCOONS,CPM1810,NOT RECORDED,ADULT
12/23/2018,NH,COOS,44.47834,-71.182326,RACCOONS,CPM19011,FEMALE,ADULT
2/13/2018,NH,ROCKINGHAM,43.0819,-70.817418,RACCOONS,NAK1801,NOT RECORDED,ADULT
8/17/2018,NH,BELKNAP,43.528096,-71.616543,RACCOONS,KMN1802,MALE,JUVENILE (YOY)
10/23/2018,NH,BELKNAP,43.520946,-71.612864,RACCOONS,CPM1809,NOT RECORDED,ADULT
8/1/2018,NH,COOS,44.488278,-71.564533,RACCOONS,CPM1805,NOT RECORDED,ADULT
8/19/2018,NH,BELKNAP,43.681211,-71.643113,RACCOONS,CAS1801,FEMALE,ADULT
8/24/2018,NH,COOS,44.852656,-71.550792,RACCOONS,CPM1806,MALE,ADULT
9/28/2018,NH,MERRIMACK,43.39527778,-71.6016666,RACCOONS,BAS1804,NOT RECORDED,NOT RECORDED
9/17/2018,NH,MERRIMACK,43.24551,-71.436047,RACCOONS,CAS1802,NOT RECORDED,ADULT
9/28/2018,NH,MERRIMACK,43.243782,-71.543175,RACCOONS,BAS1805,FEMALE,ADULT
8/17/2018,NH,BELKNAP,43.528415,-71.616426,RACCOONS,KMN1801,MALE,JUVENILE (YOY)
10/11/2018,NY,ESSEX,44.44386,-73.49294,RACCOONS,NY180531,MALE,ADULT
8/1/2018,NY,JEFFERSON,44.193216,-75.628475,RACCOONS,NY181519,MALE,ADULT
10/4/2018,NY,CLINTON,44.68289,-73.47473,RACCOONS,NY180526,MALE,ADULT
10/10/2018,NY,ERIE,42.65036,-78.59399,RACCOONS,NY180360,MALE,ADULT
10/3/2018,NY,CLINTON,44.77628,-73.47223,RACCOONS,NY180521,MALE,ADULT
10/11/2018,NY,NIAGARA,43.22237,-78.62207,RACCOONS,NY180372,MALE,ADULT
